ricercatore	count
calamita giuseppe	3
memoli bruno	3
civardi marisa	3
d'ambra luigi	3
russo paolo	3
crispolti enrico	3
ruffo francesco	3
attaianese ciro	3
de stefano alessandro	3
germana' giovanni	3
martini mina	3
bonatti piero andrea	3
ruggiero pacifico	3
cuomo rosario	3
rigon riccardo	3
santoro cecilia	3
santoro massimo	3
triggiani massimo	3
valerio paolo	3
paul soler	3
barbagallo salvatore	3
valente carlo	3
acerbi emilio daniele g.	3
rizzarelli enrico	3
marchi marco	3
cecilia mascolo	3
capuano annalisa	3
rossi francesco	3
manes fausto	3
rionero salvatore	3
de capua claudio roberto maria	3
majone mauro	3
ruggeri tommaso antonio	3
baldini artemio enzo	3
pasti paolo	3
scandurra roberto	3
pagano ugo	3
bevilacqua generoso	3
pesci angela	3
cassone alberto	3
ianieri adriana	3
manfredi gaetano	3
passeri leonsevero	3
auricchio ferdinando	3
zazzerini antonio	3
virzo amalia	3
lucio nitsch	3
costantino umberto	3
corso gaetano	3
carle flavia	3
cantillo giuseppe	3
lizzi fedele	3
cotecchia federica	3
d'aloia antonio	3
d'antonio massimo	3
romeo raffaello	3
iaccarino guido	3
ledda fabrizio	3
giovannelli adriano	3
spadafora giuseppe	3
amaturo enrica	3
lauro natale	3
capasso francesco	3
tecilla paolo	3
romano giovanni	3
sico luigi	3
d'aponte tullio	3
vinogradov alexandre m.	3
lecce leonardo	3
ventre giorgio	3
bigi adriana	3
lanza diego giovanni	3
cordera renzo	3
ricci giuseppe	3
lavia patrizia	3
petralia giuseppe	3
losasso mario rosario	3
cantone gaetana	3
canfora luciano	3
ugenti valerio	3
indolfi ciro	3
amy kronenberg	3
mele paolo	3
piccarolo stefano	3
cantarella maria	3
luciano raimondo	3
mazzarella giuseppe	3
alberico wanda maria	3
falivene maria rosaria	3
del re attilio amerigo	3
balbi simona	3
dmytro grygoryev	3
corcella aldo	3
golino paolo	3
meola giovanni	3
zajczyk francesca	3
pastrone dario giuseppe	3
formiconi andreas robert	3
clausi benedetto	3
bonomo raffaele pietro	3
randaccio lucio	3
gabrielli armando	3
ramis gianguido	3
rossi vittorio	3
dimitri patrizio	3
